workload,config,prefetcher,level,latency,depth,degree,slots,table_entries,delta_width,accesses,reached_level,baseline_misses,misses,miss_rate,coverage,accuracy,generated,filtered,issued,useful,late,late_rate,pollution,overflows,seconds
xz,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,482395,273893,272013,56.388,0.6864,18.7411,22836,9459,13377,2507,8197,61.2768,19.541,0,53.8
xz,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,482395,273893,266002,55.1419,2.8811,55.8079,57375,41698,15677,8749,3218,20.5269,23.1613,0,58.6
xz,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,482395,273893,273893,56.7777,0.0,4.7021,22836,9459,13377,629,10075,75.3158,19.541,0,51.3
xz,ngram-l2-lat256-degree4-depth2-slots1,ngram,L2,256,2,4,1,524288,48,20000000,482395,273893,272455,56.4796,0.525,14.6539,57375,41700,15675,2297,9669,61.6842,23.1579,0,56.9
xz,ngram-l2-lat4-degree1-depth2-slots1,ngram,L2,4,2,1,1,524288,48,20000000,482395,273893,265805,55.1011,2.953,65.1491,22836,9459,13377,8715,1989,14.8688,19.541,0,54.0
xz,ngram-l2-lat4-degree4-depth2-slots1,ngram,L2,4,2,4,1,524288,48,20000000,482395,273893,263822,54.69,3.677,69.7136,57375,41698,15677,10929,1038,6.6212,23.1613,0,56.8
xz,ngram-l2-lat64-degree1-depth2-slots1,ngram,L2,64,2,1,1,524288,48,20000000,482395,273893,272455,56.4796,0.525,15.4369,22836,9459,13377,2065,8639,64.581,19.541,0,53.7
xz,ngram-l2-lat64-degree4-depth2-slots1,ngram,L2,64,2,4,1,524288,48,20000000,482395,273893,271258,56.2315,0.9621,22.2825,57375,41699,15676,3493,8474,54.0572,23.1564,0,51.6
xz,none-l2-lat0,none,L2,0,,,,,,20000000,482395,273893,273893,56.7777,0.0,0.0,0,0,0,0,0,0.0,0.0,,42.6
xz,stride-l2-lat0-degree1,stride,L2,0,,1,,,,20000000,482395,273893,267527,55.4581,2.3243,96.5062,11502,4919,6583,6353,0,0.0,3.4179,,39.9
xz,stride-l2-lat0-degree4,stride,L2,0,,4,,,,20000000,482395,273893,264057,54.7388,3.5912,88.2704,43784,32377,11407,10069,0,0.0,11.5368,,41.4
xz,stride-l2-lat16-degree1,stride,L2,16,,1,,,,20000000,482395,273893,270916,56.1606,1.0869,45.0251,11502,4919,6583,2964,3389,51.4811,3.4179,,49.3
xz,stride-l2-lat16-degree4,stride,L2,16,,4,,,,20000000,482395,273893,264421,54.8142,3.4583,85.0793,43784,32377,11407,9705,364,3.191,11.5368,,49.9
xz,stride-l2-lat256-degree1,stride,L2,256,,1,,,,20000000,482395,273893,271829,56.3499,0.7536,31.1256,11502,4919,6583,2049,4304,65.3805,3.4179,,54.3
xz,stride-l2-lat256-degree4,stride,L2,256,,4,,,,20000000,482395,273893,267698,55.4935,2.2618,56.33,43784,32378,11406,6425,3644,31.9481,11.529,,50.4
xz,stride-l2-lat4-degree1,stride,L2,4,,1,,,,20000000,482395,273893,267671,55.4879,2.2717,94.3187,11502,4919,6583,6209,144,2.1875,3.4179,,46.4
xz,stride-l2-lat4-degree4,stride,L2,4,,4,,,,20000000,482395,273893,264332,54.7958,3.4908,85.8596,43784,32377,11407,9794,275,2.4108,11.5368,,40.4
xz,stride-l2-lat64-degree1,stride,L2,64,,1,,,,20000000,482395,273893,270926,56.1627,1.0833,44.8732,11502,4919,6583,2954,3399,51.633,3.4179,,45.6
xz,stride-l2-lat64-degree4,stride,L2,64,,4,,,,20000000,482395,273893,267613,55.4759,2.2929,57.0965,43784,32377,11407,6513,3556,31.1738,11.5368,,45.5
lbm,ngram-l2-lat0-degree1-depth2-slots1,ngram,L2,0,2,1,1,524288,48,20000000,3239998,2160839,172005,5.3088,92.0399,99.9962,3125539,1156546,1968993,1968919,0,0.0,0.0038,0,113.0
lbm,ngram-l2-lat0-degree4-depth2-slots1,ngram,L2,0,2,4,1,524288,48,20000000,3239998,2160839,142468,4.3972,93.4068,99.0057,11826556,9807901,2018655,1998584,0,0.0,0.9922,0,251.8
lbm,ngram-l2-lat16-degree1-depth2-slots1,ngram,L2,16,2,1,1,524288,48,20000000,3239998,2160839,2097149,64.7269,2.9475,2.2232,3125539,1156546,1968993,43775,1925144,97.773,0.0038,0,122.9
lbm,ngram-l2-lat16-degree4-depth2-slots1,ngram,L2,16,2,4,1,524288,48,20000000,3239998,2160839,1447143,44.6649,33.0287,34.3748,11826556,9807901,2018655,693909,1304675,64.6309,0.9922,0,258.9
lbm,ngram-l2-lat256-degree1-depth2-slots1,ngram,L2,256,2,1,1,524288,48,20000000,3239998,2160839,2140912,66.0776,0.9222,0.0006,3125539,1156546,1968993,12,1968907,99.9956,0.0038,0,115.3
